,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
2782,7007WDMNDG14891,DIAMOND GREEN DIESEL LLC,325199,issues,issues,issues,issues,issues,DIAMOND GREEN DIESEL,110045975744.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2850,6412WDTCHN951NT,IODITECH INC,325180,issues,issues,issues,issues,issues,issues,110063694471.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2866,7754WBLCBP231NB,FREEPORT_OLIN BC,325199,issues,issues,issues,issues,issues,OLIN CORP,110066943605.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3209,53209MRCNN6000N,ALDRICH CHEMICAL CO LLC TEUTONIA,325199,issues,issues,issues,issues,issues,EMD HOLDING CORP.,110000536625.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3520,3264WVLTXN131SU,AIR LIQUIDE ADVANCED MATERIALS INC,325120,325180.0,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110012540483.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3649,35601STHRNPOBOX,CHEMTRADE SOLUTIONS LLC,325180,325998.0,issues,issues,issues,issues,CHEMTRADE HOLDCO US INC,110000367497.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3702,7066WLCCLL22BAY,LACC LLC US/LOTTE CHEMICAL LOUISIANA LLC,325199,issues,issues,issues,issues,issues,issues,110070031367.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3709,7701WVLRNR971MA,VALERO ENERGY PARTNERS LP,324110,issues,issues,issues,issues,issues,VALERO ENERGY PARTNERS LP,110070135386.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3854,7754WKNDRM47CLI,KINDER MORGAN CRUDE & CONDENSATE LLC,324110,issues,issues,issues,issues,issues,KINDER MORGAN,110069234661.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3863,01810CMBRD5FRNT,CAMBRIDGE ISOTOPE LABORATORIES  INC,325199,issues,issues,issues,issues,issues,OTSUKA AMERICA INC,110000796014.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4031,6811WNVZYM6S1ST,NOVOZYMES BLAIR INC,325199,issues,issues,issues,issues,issues,NOVOZYMES US INC,110039181079.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4058,31701SSCFG827PI,SASCO CHEMICAL GROUP INC,325199,issues,issues,issues,issues,issues,POLYMER SOLUTIONS GROUP,110000360911.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4151,1409WPLYNC4921I,POLYONE CORP,325211,issues,issues,issues,issues,issues,POLYONE CORP,110070247069.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4160,9520WHJBKRPBX28,HJ BAKER & BRO LLC,325180,issues,issues,issues,issues,issues,HJ BAKER & BRO LLC,110008275785.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4181,7757WKRRYM12342,KURARAY AMERICA INC,325211,issues,issues,issues,issues,issues,KURARAY AMERICA INC,110059809989.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4189,3713WCCDNT19DUP,OCCIDENTAL CHEMICAL CORP (OXYCHEM),325180,issues,issues,issues,issues,issues,OCCIDENTAL CHEMICAL HOLDING CORP,110044904146.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
